Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012/1/20,2012,1/20,2016/6/6,2016,6/6
Western National Bank,Phoenix,AZ,57917,Washington Federal,2011/12/16,2011,12/16,2015/2/5,2015,2/5
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011/12/16,2011,12/16,2018/2/19,2018,2/19
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011/11/18,2011,11/18,2015/2/5,2015,2/5
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011/11/18,2011,11/18,2012/8/15,2012,8/15
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011/11/10,2011,11/10,2014/3/21,2014,3/21
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011/11/4,2011,11/4,2017/8/9,2017,8/9
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011/11/4,2011,11/4,2018/4/16,2018,4/16
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011/10/28,2011,10/28,2018/2/21,2018,2/21
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011/10/21,2011,10/21,2013/1/2,2013,1/2
